_key	r	g	b	hue	sat_1	value	lumo	sat_2	red	green	blue	yellow	cyan	magenta	orange	indigo	black	white	unknown	grey
Neversong.jpg	129	75	27	28.24	0.79	1	0.31	0.65	1350	0	0	33	0	0	4274	0	5080	559	43200	0
Neverwinter Nights 2.jpg	22	15	9	27.69	0.59	0	0.06	0.42	297	0	0	2	0	0	157	0	37222	237	43043	157
Neverwinter Nights.jpg	29	29	39	240	0.26	0	0.13	0.15	0	0	0	0	0	0	0	0	33362	1139	42909	291
New Pokemon Snap.jpg	141	144	138	90	0.04	1	0.55	0.03	529	0	40	382	25	2	1048	0	312	4494	42684	516
New Star GP.jpg	122	122	121	-1	0.01	0	0.48	0	420	0	0	404	0	0	452	0	3333	3653	29435	13765
New Super Mario Bros U Deluxe.jpg	177	174	108	57.39	0.39	1	0.56	0.31	915	421	213	5710	2	0	588	1	1038	3159	41902	1298
New Super Mario Bros Wii.jpg	134	133	136	260	0.02	1	0.53	0.01	6527	17	49	676	1351	0	1152	0	3299	4310	42203	997
New Super Mario Bros. 2.jpg	202	167	40	47.04	0.8	1	0.47	0.67	333	94	44	9468	0	0	16691	0	950	1842	42094	1106
New Super Mario Bros. U.jpg	107	144	148	185.85	0.28	1	0.5	0.16	188	204	709	261	592	1	445	0	2010	5454	41360	1840
New Super Mario Bros..jpg	108	135	140	189.38	0.23	1	0.49	0.13	2206	5	0	1410	297	0	846	0	4271	3941	42185	1015
Ni no Kuni - Wrath of the White Witch.jpg	58	83	73	156	0.3	0	0.28	0.18	0	0	0	1	0	0	5	0	8581	37	42652	548
Ni No Kuni 2 - Revenant Kingdom.jpg	134	144	126	93.33	0.12	1	0.53	0.07	1	0	0	102	0	0	6	0	2059	3038	41295	1905
Nickelodeon All-Star Brawl.jpg	131	101	133	296.25	0.24	1	0.46	0.14	77	1	686	1171	0	0	953	960	2308	1892	42997	203
Nidhogg 2.jpg	131	64	48	11.57	0.63	1	0.35	0.46	1850	0	0	7	0	0	3429	0	3115	0	42986	214
Nidhogg.jpg	80	76	63	45.88	0.21	0	0.28	0.12	0	0	0	872	0	0	731	0	27886	4918	40529	2671
NIDUS.jpg	98	66	132	269.09	0.5	1	0.39	0.33	169	0	120	267	460	33	27	765	137	672	43165	35
Nier - Automata.jpg	123	131	141	213.33	0.13	1	0.52	0.07	0	0	0	0	0	0	0	0	2393	10767	40562	2638
Nier - Automata_2.jpg	120	116	111	33.33	0.07	0	0.45	0.04	0	0	0	0	0	0	0	0	11413	9280	38899	4301
NieR Replicant.jpg	146	139	130	33.75	0.11	1	0.54	0.07	0	0	0	0	0	0	0	0	6748	11630	37162	6038
Nier.jpg	104	100	99	12	0.05	0	0.4	0.02	0	0	0	0	0	0	0	0	10990	4043	21222	21978
Night in the Woods.jpg	213	210	208	24	0.02	1	0.83	0.06	5	0	0	0	0	0	0	0	3169	32875	42316	884
Night Trap.jpg	87	18	23	355.65	0.79	0	0.21	0.66	4905	0	0	105	0	0	530	3	19097	0	43127	73
Nightmare Creatures.jpg	56	32	22	17.65	0.61	0	0.15	0.44	274	0	0	159	0	0	942	0	27897	320	42296	904
Nightmare Kart.jpg	69	58	54	16	0.22	0	0.24	0.12	150	0	0	0	0	0	0	0	21328	2412	37085	6115
