Index,Title,RED,GREEN,BLUE,HUE,SATURATION,VALUE,HUE,LUMO,SATURATION 2,RGB AVG
2148,The Entropy Centre,120.07,109.59,108.06,0.02,0.10,120.07,0.02,114.07,-0.05,112.57
1302,ModNation Racers,143.01,130.39,128.68,0.02,0.10,143.01,0.02,135.85,-0.05,134.03
645,Etrian Odyssey 2 Untold - The Fafnir Knight,145.18,132.35,130.20,0.02,0.10,145.18,0.02,137.69,-0.05,135.91
1921,Soul of the Samurai,175.15,159.46,156.96,0.02,0.10,175.15,0.02,166.05,-0.06,163.86
585,Dreamfall Chapters,194.29,176.10,173.73,0.02,0.11,194.29,0.02,184.01,-0.06,181.37
921,Heaven Dust,38.40,34.55,34.14,0.02,0.11,38.40,0.02,36.27,-0.06,35.70
1320,Moonscars,18.77,16.65,16.43,0.02,0.12,18.77,0.02,17.60,-0.07,17.28
2074,Tail Concerto,126.90,111.89,109.43,0.02,0.14,126.90,0.02,118.16,-0.07,116.07
2043,Super Smash Bros.,130.21,114.76,112.22,0.02,0.14,130.21,0.02,121.21,-0.07,119.06
1157,Love Esquire,193.35,169.35,166.08,0.02,0.14,193.35,0.02,179.71,-0.08,176.26
387,Cozy Grove,85.09,74.32,72.53,0.02,0.15,85.09,0.02,78.81,-0.08,77.31
2000,Strider,82.37,70.38,68.96,0.02,0.16,82.37,0.02,75.66,-0.09,73.90
1263,Metal Gear Solid 4 - Guns of the Patriots,59.26,50.18,49.26,0.02,0.17,59.26,0.02,54.26,-0.09,52.90
2425,Vampyr,34.57,28.60,27.58,0.02,0.20,34.57,0.02,31.08,-0.12,30.25
2570,Zeno Clash II,125.25,101.55,97.53,0.02,0.22,125.25,0.02,111.39,-0.13,108.11
1141,Looney Tunes - Sheep Raider,59.84,46.71,45.25,0.02,0.24,59.84,0.02,52.55,-0.14,50.60
1196,Mario and Luigi - Partners in Time,115.79,90.29,86.50,0.02,0.25,115.79,0.02,101.15,-0.15,97.53
828,God of War III,160.78,124.62,120.22,0.02,0.25,160.78,0.02,140.50,-0.15,135.21
2331,Touhou Luna Nights,147.75,113.49,109.58,0.02,0.26,147.75,0.02,128.67,-0.15,123.61
1939,Spider-Man - Web of Shadows,161.64,122.67,118.57,0.02,0.27,161.64,0.02,140.10,-0.15,134.29
1086,L.A. Noire,66.25,50.22,47.55,0.02,0.28,66.25,0.02,56.90,-0.17,54.67
167,Banjo-Kazooie,95.76,72.26,68.54,0.02,0.28,95.76,0.02,82.15,-0.17,78.85
1026,Jagged Alliance 3,167.00,123.50,118.93,0.02,0.29,167.00,0.02,142.96,-0.17,136.48
418,Cult of the Lamb,109.28,79.68,74.80,0.02,0.32,109.28,0.02,92.04,-0.19,87.92
2113,Tenchu Shadow Assassins,154.27,111.28,104.39,0.02,0.32,154.27,0.02,129.33,-0.19,123.31
1279,Micro Maniacs,98.71,71.36,67.01,0.02,0.32,98.71,0.02,82.86,-0.19,79.03
785,Fuga - Melodies of Steel,161.03,115.81,108.26,0.02,0.33,161.03,0.02,134.64,-0.20,128.37
1044,Justice Sucks,152.29,105.30,100.07,0.02,0.34,152.29,0.02,126.18,-0.21,119.22
934,Hextech Mayhem - A League of Legends Story,154.71,109.47,102.36,0.02,0.34,154.71,0.02,128.53,-0.21,122.18
16,A Little to the Left,214.60,145.03,133.87,0.02,0.38,214.60,0.02,174.23,-0.23,164.50
473,Decarnation,107.23,70.27,65.63,0.02,0.39,107.23,0.02,86.43,-0.24,81.04
113,art of rally,175.37,115.44,106.25,0.02,0.39,175.37,0.02,140.81,-0.25,132.35
1922,Souldiers,58.15,36.19,33.40,0.02,0.43,58.15,0.02,45.78,-0.28,42.58
2049,Superliminal,182.07,111.48,102.82,0.02,0.44,182.07,0.02,142.44,-0.28,132.12
1365,Naruto Shippuden Legends - Akatsuki Rising,109.02,66.41,59.49,0.02,0.45,109.02,0.02,84.25,-0.30,78.30
604,Dunk Lords,95.71,50.50,45.69,0.02,0.52,95.71,0.02,70.70,-0.36,63.97
1774,Samurai Jack - Battle Through Time,118.94,65.21,55.95,0.02,0.53,118.94,0.02,87.45,-0.36,80.04
435,Darkest Dungeon,40.62,21.53,18.40,0.02,0.55,40.62,0.02,29.51,-0.39,26.85
1842,Shin Megami Tensei Persona 2 - Innocent Sin,131.90,63.69,56.70,0.02,0.57,131.90,0.02,94.30,-0.40,84.10
2266,Them and Us,108.61,52.98,46.07,0.02,0.58,108.61,0.02,77.34,-0.41,69.22
461,Deadpool,153.70,76.52,63.40,0.02,0.59,153.70,0.02,108.55,-0.42,97.87
2542,Yakuza 3,64.19,29.08,25.34,0.02,0.61,64.19,0.02,44.77,-0.44,39.54
2038,Super Meat Boy,154.68,67.71,55.40,0.02,0.64,154.68,0.02,105.04,-0.48,92.60
867,Grim Dawn,99.43,42.16,36.15,0.02,0.64,99.43,0.02,67.79,-0.47,59.24
472,DeathSpank,137.75,58.21,48.20,0.02,0.65,137.75,0.02,92.98,-0.49,81.39
2278,Thrill Kill,51.74,22.11,16.99,0.02,0.67,51.74,0.02,34.36,-0.52,30.28
363,Command & Conquer - Red Alert,94.53,38.64,30.99,0.02,0.67,94.53,0.02,62.76,-0.51,54.72
897,Hand of Fate,70.88,27.21,21.16,0.02,0.70,70.88,0.02,46.02,-0.55,39.75
459,Deadly Premonition 2 A Blessing in Disguise,102.36,35.90,28.66,0.02,0.72,102.36,0.02,65.51,-0.57,55.64
501,Diablo II,54.84,17.06,12.48,0.02,0.77,54.84,0.02,33.66,-0.65,28.13
2125,The Ascent,132.02,42.35,27.33,0.02,0.79,132.02,0.02,79.67,-0.67,67.23
502,Diablo,24.44,6.18,4.25,0.02,0.83,24.44,0.02,14.35,-0.76,11.63
1729,Road Redemption,138.69,135.51,134.70,0.03,0.03,138.69,0.03,136.70,-0.01,136.30
597,Dungeon Siege III,66.18,64.57,64.15,0.03,0.03,66.18,0.03,65.16,-0.02,64.97
526,Dissidia Final Fantasy,151.34,143.15,141.64,0.03,0.06,151.34,0.03,146.49,-0.03,145.37
928,Helvetii,179.50,170.70,168.57,0.03,0.06,179.50,0.03,174.03,-0.03,172.92
720,Final Fantasy IX,170.95,161.38,159.55,0.03,0.07,170.95,0.03,165.25,-0.03,163.96
2123,The Alliance Alive HD Remastered,151.39,139.03,136.39,0.03,0.10,151.39,0.03,143.89,-0.05,142.27
