Name,r,g,b,hue,sat_1,value,lumo,Custom Order,sat_2,red,green,blue,yellow,cyan,magenta,orange,indigo,black,white,unknown,grey
Crisis Core - Final Fantasy VII,98,134,149,197.65,0.34,1,0.48,B,0.21,0,0,0,0,2483,0,0,0,8010,6746,42532,668
Xenoblade Chronicles 3,102,135,149,197.87,0.32,1,0.49,B,0.19,746,0,153,0,0,0,0,0,949,6115,42685,515
Totally Accurate Battle Simulator,142,163,172,198,0.17,1,0.62,B,0.15,77,0,0,1,136,0,0,0,186,6609,42993,207
Final Fantasy VII - Crisis Core Reunion,109,151,169,198,0.36,1,0.55,B,0.26,0,0,0,0,171,0,0,0,5169,5267,42828,372
Sea of Stars,89,152,179,198,0.5,1,0.53,B,0.37,119,0,30,0,2029,0,3,2,1033,1006,43042,158
Mark of the Ninja,58,86,98,198,0.41,0,0.31,B,0.26,0,0,0,0,0,0,0,0,14046,649,42704,496
The Last Remnant,67,74,77,198,0.13,0,0.28,B,0.07,0,0,0,0,0,0,0,0,18445,2862,40018,3182
Flow,16,111,153,198.39,0.9,1,0.33,B,0.81,0,0,0,0,29,0,0,0,0,165,43200,0
Mario Party 5,105,132,144,198.46,0.27,1,0.49,B,0.16,408,2,13,1294,62,0,511,0,1191,4164,42763,437
Broken Pieces,113,122,126,198.46,0.1,0,0.47,B,0.05,0,0,0,0,0,0,0,0,4741,2488,40562,2638
A Highland Song,89,107,115,198.46,0.23,0,0.4,B,0.13,1,0,0,1,0,0,491,0,777,1590,42635,565
God of War 2018,80,98,106,198.46,0.25,0,0.36,B,0.14,5,0,0,0,0,0,0,0,10091,365,41148,2052
Death in the Water 2,38,56,64,198.46,0.41,0,0.2,B,0.25,0,0,0,0,0,0,0,0,24750,2090,42498,702
They Always Run,70,105,121,198.82,0.42,0,0.37,B,0.27,10,0,0,0,756,0,5,0,8394,1079,42752,448
Super Lucky's Tale,153,177,188,198.86,0.19,1,0.67,B,0.21,1041,0,3,104,1010,0,1871,0,473,10691,42627,573
Bully,39,95,121,199.02,0.68,0,0.31,B,0.51,0,0,4,0,0,0,656,0,1171,0,43052,148
Halo 4,83,104,114,199.35,0.27,0,0.39,B,0.16,0,0,0,0,0,0,0,0,11276,3568,41728,1472
Castlevania - Legacy of Darkness,66,97,112,199.57,0.41,0,0.35,B,0.26,0,0,0,8,0,0,249,0,7745,1136,42384,816
Dark Deity,126,159,175,199.59,0.28,1,0.59,B,0.23,8,0,0,0,57,0,0,0,640,4537,42699,501
Ogu and the Secret Forest,115,148,164,199.59,0.3,1,0.55,B,0.21,160,0,14,26,42,0,3,0,2062,5727,40420,2780
Rocket League,106,134,148,200,0.28,1,0.5,B,0.17,0,0,13,0,19,0,0,0,3387,12192,40271,2929
Portal 2,93,121,135,200,0.31,1,0.45,B,0.18,0,0,0,329,90,0,260,0,9561,6366,42819,381
