Index,Title,RED,GREEN,BLUE,CLUSTERS,HUE,SATURATION,VALUE,HUE,LUMO,SATURATION 2
2440,Visions of Mana,158.28,116.45,90.23,68.05,0.06,0.43,158.28,0.06,124,-0.28
485,Desperados III,125.35,79.90,55.81,69.54,0.06,0.55,125.35,0.06,91,-0.39
1229,Mass Effect 2,120.30,73.43,44.03,76.27,0.06,0.63,120.30,0.06,82,-0.47
470,Deathloop,132.26,85.21,55.19,77.07,0.06,0.58,132.26,0.06,94,-0.42
1949,Spyro 2 - Ripto's Rage!,146.46,94.40,68.38,78.08,0.06,0.53,146.46,0.06,107,-0.37
543,DOOM Eternal,127.84,77.29,49.34,78.5,0.06,0.61,127.84,0.06,89,-0.45
295,Call of Juarez,124.12,75.86,45.15,78.97,0.06,0.64,124.12,0.06,85,-0.47
2456,WarioWare - Touched!,187.79,134.33,106.91,80.88,0.06,0.43,187.79,0.06,147,-0.28
376,Contra 4,129.94,72.74,43.20,86.74,0.06,0.67,129.94,0.06,87,-0.51
1700,Resistance 3,220.14,162.68,131.46,88.68,0.06,0.40,220.14,0.06,176,-0.25
1718,Rise & Shine,184.71,128.27,95.81,88.9,0.06,0.48,184.71,0.06,140,-0.32
923,Heavenly Sword,139.72,79.48,49.44,90.28,0.06,0.65,139.72,0.06,95,-0.48
1908,Songs for a Hero,195.67,136.63,102.47,93.2,0.06,0.48,195.67,0.06,149,-0.31
1094,Last Day of June,214.77,135.57,86.33,128.44,0.06,0.60,214.77,0.06,151,-0.43
1050,Keep Talking and Nobody Explodes,38.57,37.22,36.31,2.26,0.07,0.06,38.57,0.07,37,-0.03
8,8 Doors,103.54,100.08,97.63,5.91,0.07,0.06,103.54,0.07,101,-0.03
953,Hollowbody,71.48,67.43,64.63,6.85,0.07,0.10,71.48,0.07,68,-0.05
1933,SpellForce Platinum Edition,158.50,154.48,151.41,7.09,0.07,0.04,158.50,0.07,155,-0.02
345,Chrono Trigger,213.55,208.91,205.41,8.14,0.07,0.04,213.55,0.07,209,-0.02
1427,Nocturnal,55.04,50.12,46.21,8.83,0.07,0.16,55.04,0.07,51,-0.09
2217,The Order 1886,81.25,74.98,70.89,10.36,0.07,0.13,81.25,0.07,76,-0.07
2571,Zeno Clash,120.43,113.85,109.43,11,0.07,0.09,120.43,0.07,115,-0.05
763,For the People,112.44,105.60,100.64,11.8,0.07,0.10,112.44,0.07,107,-0.06
851,Grand Theft Auto IV,102.52,95.29,89.74,12.78,0.07,0.12,102.52,0.07,96,-0.07
2083,Tales of Vesperia,168.36,160.18,154.33,14.03,0.07,0.08,168.36,0.07,161,-0.04
1515,Peaky Blinders - Mastermind,59.23,49.20,41.97,17.26,0.07,0.29,59.23,0.07,51,-0.17
19,A Plague Tale Requiem,52.17,41.86,34.54,17.63,0.07,0.34,52.17,0.07,43,-0.21
2537,Xenogears,170.21,159.70,152.36,17.85,0.07,0.10,170.21,0.07,161,-0.06
1188,Manifold Garden,178.42,166.67,158.51,19.91,0.07,0.11,178.42,0.07,168,-0.06
1084,Koudelka,61.31,49.47,40.71,20.6,0.07,0.34,61.31,0.07,51,-0.21
102,Armored Core - Master of Arena,82.96,70.45,60.75,22.21,0.07,0.27,82.96,0.07,72,-0.16
971,Hyrule Warriors - Definitive Edition,159.91,145.87,136.72,23.19,0.07,0.15,159.91,0.07,148,-0.08
1261,Metal Gear Solid 2 - Sons of Liberty,149.52,135.64,126.08,23.44,0.07,0.16,149.52,0.07,138,-0.09
845,Grand Theft Auto - Chinatown Wars,112.65,98.33,89.01,23.64,0.07,0.21,112.65,0.07,101,-0.12
224,Blasphemous 2,39.06,24.79,15.32,23.74,0.07,0.61,39.06,0.07,27,-0.45
364,Command & Conquer - Remastered Collection,60.81,46.45,36.90,23.91,0.07,0.39,60.81,0.07,49,-0.25
1719,Rise of the Kasai,69.96,56.13,45.34,24.62,0.07,0.35,69.96,0.07,58,-0.22
803,GetsuFumaDen - Undying Moon,106.61,92.88,81.90,24.71,0.07,0.23,106.61,0.07,94,-0.13
174,Baten Kaitos I & II HD Remaster,181.39,166.67,156.67,24.72,0.07,0.14,181.39,0.07,169,-0.07
588,DREDGE,83.81,68.81,59.06,24.75,0.07,0.30,83.81,0.07,71,-0.18
2523,Wytchwood,99.16,85.09,73.72,25.44,0.07,0.26,99.16,0.07,86,-0.15
870,GrimGrimoire,99.56,84.79,73.91,25.65,0.07,0.26,99.56,0.07,87,-0.15
861,Greed Corp,116.57,101.85,90.73,25.84,0.07,0.22,116.57,0.07,104,-0.13
1855,Signs of the Sojourner,105.44,90.57,79.30,26.14,0.07,0.25,105.44,0.07,92,-0.14
1764,Saiyuki - Journey West,127.58,111.96,101.21,26.37,0.07,0.21,127.58,0.07,114,-0.12
1811,Shadow of Destiny,104.88,90.04,77.90,26.98,0.07,0.26,104.88,0.07,91,-0.15
1518,Pentiment,49.70,34.32,22.57,27.13,0.07,0.55,49.70,0.07,36,-0.39
698,Fight'N Rage,68.88,52.54,41.29,27.59,0.07,0.40,68.88,0.07,55,-0.26
1136,LittleBigPlanet 3,155.57,138.79,127.87,27.7,0.07,0.18,155.57,0.07,142,-0.10
877,Gunbrella,106.84,91.18,78.68,28.16,0.07,0.26,106.84,0.07,93,-0.15
159,Baldur's Gate II Enhanced Edition,60.78,42.74,30.70,30.08,0.07,0.49,60.78,0.07,46,-0.34
2295,Titan Quest,126.71,108.87,96.39,30.32,0.07,0.24,126.71,0.07,112,-0.14
1461,Oneiros,134.90,117.20,104.49,30.41,0.07,0.23,134.90,0.07,120,-0.13
208,Bioshock - Infinite,128.98,111.08,97.63,31.35,0.07,0.24,128.98,0.07,113,-0.14
1238,Maximo vs. Army of Zin,96.53,79.11,64.93,31.6,0.07,0.33,96.53,0.07,81,-0.20
1463,Onimusha 2 Samurai's Destiny,94.99,75.80,63.17,31.82,0.07,0.34,94.99,0.07,79,-0.20
314,Castlevania - Portrait of Ruin,117.64,99.88,85.65,31.99,0.07,0.27,117.64,0.07,102,-0.16
1967,Star Wars - Knights of the Old Republic,72.76,54.86,40.38,32.38,0.07,0.45,72.76,0.07,57,-0.29
2354,Tunche,82.02,63.14,48.83,33.19,0.07,0.40,82.02,0.07,65,-0.26
1217,Mario vs Donkey Kong,141.23,121.68,107.53,33.7,0.07,0.24,141.23,0.07,124,-0.14
95,Arc the Lad III,160.64,141.14,125.64,35,0.07,0.22,160.64,0.07,143,-0.12
602,Dungeons of Aether,103.21,82.96,67.87,35.34,0.07,0.34,103.21,0.07,86,-0.21
2072,Tactics Ogre - Let Us Cling Together,152.55,131.82,117.01,35.54,0.07,0.23,152.55,0.07,135,-0.13
